id,name,type,category,price,compare_at_price,colour,other_colours,fit,sizes,print_lines,print_font,print_glyph,print_backdrop,print_backdrop_colour,print_ink,image,description,badge,rating,reviews,audience,occasions,state,region,language,featured
BKC-1021,Biryani Se Pyaar Hai,tee,foodie,899,,maroon,white|black,oversized,,BIRYANI SE|PYAAR HAI,rozha,🍛,,,,,,,,,unisex,everyday,,,,
BKC-1022,Golgappa Ka Hisaab,tee,foodie|women,749,,coral,white|black,crop,,GOLGAPPA|KA HISAAB,marker,🥟,,,,,,,,,women,everyday,,,,
BKC-1023,Filter Coffee Only,tee,foodie|regional,649,799,sand,white|black,regular,,FILTER COFFEE|ONLY,mono,☕,,,,,,,4.5,11,unisex,everyday,,,,
BKC-1024,Pakode Weather,tee,foodie,899,,teal,white|black,oversized,,PAKODE|WEATHER,rozha,🌧,,,,,,,,,unisex,monsoon,,,,
BKC-1025,This Meeting Could Have Been An Email,tee,work|humour,899,,charcoal,white|black,oversized,,COULD HAVE|BEEN AN EMAIL,mono,📧,,,,,,,4.5,45,unisex,everyday,,,,
BKC-1026,"On Mute, Not Listening",tee,work,649,849,black,white|black,regular,,"ON MUTE,|NOT LISTENING",grotesk,🎧,,,,,,,4.1,255,unisex,everyday,,,,
BKC-1027,Ctrl Alt Delete Life,tee,work,899,,indigo,white|black,oversized,,CTRL ALT|DEL LIFE,mono,⌨️,,,,,,,4.8,298,unisex,everyday,,,,
BKC-1028,Deadline Ka Dar,tee,work,649,,chilli,white|black,regular,,DEADLINE|KA DAR,bebas,⏳,,,,,,,4.3,464,unisex,everyday,,,,
BKC-1029,Startup Wala Sapna,tee,work,899,1199,white,white|black,oversized,,STARTUP|WALA SAPNA,anton,🚀,,,,,,,4.8,249,unisex,everyday,,,,
BKC-1030,"Pehle Matdaan, Fir Jalpaan",tee,civic|statement,949,1249,white,white|black,oversized,,PEHLE MATDAAN|FIR JALPAAN,rozha,🗳️,,,,,"Vote first, snacks after. Printed for polling day — deliberately free of any party name, colour or symbol.",TURNOUT DROP,4.6,34,men|women|unisex,voting,,,,
BKC-1031,Ungli Pe Nishaan,tee,civic,649,849,offwhite,white|black,regular,,UNGLI PE|NISHAAN,anton,☝️,,,,,That indelible ink mark is the whole point. Wear the receipt.,,4.5,266,unisex,voting,,,,
BKC-1032,"Vote Daalo, Fir Bolo",tee,civic,899,,indigo,white|black,oversized,,VOTE DAALO|FIR BOLO,bebas,🗳️,,,,,,,4.9,214,unisex,voting,,,,
BKC-1033,Loktantra Zindabad,tee,civic,899,,black,white|black,oversized,,LOKTANTRA|ZINDABAD,rozha,✊,,,,,,,4.2,169,unisex,protest,,,,
BKC-1034,Sawaal Poochho,tee,civic|statement,649,,mustard,white|black,regular,,SAWAAL|POOCHHO,anton,❓,,,,,,,4.6,43,unisex,protest,,,,
BKC-1035,"Shanti Se, Par Zaroor",tee,civic,899,1499,offwhite,white|black,oversized,,"SHANTI SE,|PAR ZAROOR",playfair,🕊,,,,,Peacefully — but definitely. A protest tee that argues for the method as much as the cause.,,4.4,26,unisex,protest,,,,
BKC-1036,Samvidhan Reader,tee,civic,649,949,bottle,white|black,regular,,SAMVIDHAN|READER,mono,📖,,,,,,,,,unisex,republic|protest,,,,
BKC-1037,RTI Filed,tee,civic|humour,649,949,acid,white|black,regular,,RTI|FILED,mono,📄,,,,,,,4.1,13,unisex,protest,,,,
BKC-1038,Awaaz Do,tee,civic,899,,chilli,white|black,oversized,,AWAAZ|DO,anton,📣,,,,,,,,,unisex,protest,,,,
BKC-1039,NOTA Is Also A Choice,tee,civic|humour,649,,charcoal,white|black,regular,,NOTA IS ALSO|A CHOICE,grotesk,🗳️,,,,,,,,,unisex,voting,,,,
BKC-1040,"Patakhe Kam, Mithai Zyada",tee,festive,899,,maroon,white|black,oversized,,PATAKHE KAM|MITHAI ZYADA,rozha,🪔,,,,,,DIWALI,4.8,376,unisex,diwali,,,,
BKC-1041,"Diya Jalao, Dil Jodo",tee,festive,649,,saffron,white|black,regular,,DIYA JALAO|DIL JODO,playfair,🪔,,,,,,,4.1,6,unisex,diwali,,,,
BKC-1042,Bura Na Mano,tee,festive,899,,white,white|black,oversized,,BURA NA|MANO,marker,🎨,,,,,A white tee engineered to be destroyed by gulaal. Pre-shrunk so the ruin is at least the right size.,HOLI,,,unisex,holi,,,,
BKC-1043,Rang De,tee,festive|women,749,,white,white|black,crop,,RANG|DE,anton,🌈,,,,,,,,,women,holi,,,,
BKC-1044,15 August Wala Josh,tee,festive,899,1499,offwhite,white|black,oversized,,15 AUGUST|WALA JOSH,bebas,🎆,,,,,,,4.2,154,unisex,independence,,,,
BKC-1045,Ganatantra,tee,festive|civic,649,1099,indigo,white|black,regular,,GANATANTRA,rozha,🇮🇳,,,,,,,,,unisex,republic,,,,
BKC-1046,Behen Ka Bodyguard,tee,festive|humour,649,799,powder,white|black,regular,,BEHEN KA|BODYGUARD,marker,🎀,,,,,,,4.6,205,unisex,rakhi,,,,
BKC-1047,Bhai Ka ATM,tee,festive|humour|women,749,,rose,white|black,crop,,BHAI KA|ATM,bebas,💸,,,,,,,4.8,264,women,rakhi,,,,
BKC-1048,Garba Till Dawn,tee,festive,899,1299,chilli,white|black,oversized,,GARBA|TILL DAWN,anton,💃,,,,,,NAVRATRI,4.6,7,unisex,navratri,,,,
BKC-1049,Pandal Hopping,tee,festive|regional,899,,white,white|black,oversized,,PANDAL|HOPPING,playfair,🪘,,,,,,,4.8,290,unisex,durga,,,,
BKC-1050,Bappa Morya,tee,festive|animals,899,1199,saffron,white|black,oversized,,BAPPA|MORYA,rozha,🐘,,,,,,GANESH,4.5,185,unisex,ganesh,,,,
BKC-1051,Sadya Ready,tee,festive|foodie|regional,649,,offwhite,white|black,regular,,SADYA|READY,playfair,🍌,,,,,,,4.5,7,unisex,onam,,,,
BKC-1052,Pongalo Pongal,tee,festive|regional,649,849,mustard,white|black,regular,,PONGALO|PONGAL,bebas,🌾,,,,,,,4.7,296,unisex,pongal,,,,
BKC-1053,Bhangra Mode On,tee,festive|music,899,,mustard,white|black,oversized,,BHANGRA|MODE ON,anton,🥁,,,,,,,,,unisex,newyear-reg,,,,
BKC-1054,Eid Mubarak,tee,festive,649,,bottle,white|black,regular,,EID|MUBARAK,playfair,🌙,,,,,,,4.6,141,unisex,eid,,,,
BKC-1055,Desi Santa,tee,festive|humour,899,,chilli,white|black,oversized,,DESI|SANTA,marker,🎅,,,,,,,3.9,90,unisex,christmas,,,,
BKC-1056,Resolution Loading,tee,festive|humour,899,,black,white|black,oversized,,RESOLUTION|LOADING…,mono,🎆,,,,,,,,,unisex,newyear,,,,
BKC-1057,Makhan Chor,tee,festive|kids,499,849,mustard,white|black,kids,,MAKHAN|CHOR,rozha,🍯,,,,,,,4.3,151,kids,janmashtami,,,,
BKC-1058,Chhathi Maiya,tee,festive|regional,649,,saffron,white|black,regular,,CHHATHI|MAIYA,rozha,🌅,,,,,,,,,unisex,chhath,,,,
BKC-1059,Shaadi Ka Season,tee,festive|humour,899,,maroon,white|black,oversized,,SHAADI KA|SEASON,playfair,💒,,,,,,,4.7,35,unisex,wedding,,,,
BKC-1060,Baraat Squad,tee,festive,899,1499,indigo,white|black,oversized,,BARAAT|SQUAD,anton,🕺,,,,,,BULK SETS,4.6,49,unisex,wedding,,,,
BKC-1061,Board Exam Survivor,tee,humour,649,,acid,white|black,regular,,BOARD EXAM|SURVIVOR,mono,✏️,,,,,,,4.4,12,unisex,exams,,,,
BKC-1062,Aggressively Single,tee,humour,899,1199,charcoal,white|black,oversized,,AGGRESSIVELY|SINGLE,bebas,🥲,,,,,,,,,unisex,valentine,,,,
BKC-1063,Gaay Nikli Hai,tee,animals|humour,899,1099,white,white|black,oversized,,GAAY|NIKLI HAI,marker,🐄,,,,,Traffic in India has one universal override and this is it.,BESTSELLER,4.3,288,unisex,everyday,,,,
BKC-1064,Allah Ki Gaay,tee,humour|animals,899,,offwhite,white|black,oversized,,अल्लाह की|गाय,rozha,🐄,,,,,"Hinglish for the most harmless person in the room — bhola-bhala, soft-hearted, will not hurt a fly. An idiom about temperament, not a jab at anyone.",IDIOM,,,unisex,everyday,,,,
BKC-1065,Desi Cow Club,tee,animals,899,,mint,white|black,oversized,,DESI COW|CLUB,anton,🐄,burst,#FFFFFF,,,,,,,unisex,everyday,,,,
BKC-1066,Gir Cow Gang,tee,animals|regional,649,,sand,white|black,regular,,GIR COW|GANG,bebas,🐄,,,,,,,4.0,12,unisex,everyday,,,,
BKC-1067,Nandi Approved,tee,animals,649,,bottle,white|black,regular,,NANDI|APPROVED,rozha,🐂,,,,,,,,,unisex,everyday,,,,
BKC-1068,Buffalo Energy,tee,animals|humour,899,,charcoal,white|black,oversized,,BUFFALO|ENERGY,anton,🐃,,,,,,,,,unisex,everyday,,,,
BKC-1069,Street Dog Supporter,tee,animals,649,,offwhite,white|black,regular,,STREET DOG|SUPPORTER,grotesk,🐕,,,,,,2% TO SHELTERS,4.5,33,unisex,everyday,,,,
BKC-1070,"Adopt, Do Not Shop",tee,animals|statement,899,,black,white|black,oversized,,ADOPT.|DO NOT SHOP.,mono,🐈,,,,,,,4.1,167,unisex,everyday,,,,
BKC-1071,Elephant In The Room,tee,animals|humour,899,,lavender,white|black,oversized,,ELEPHANT IN|THE ROOM,playfair,🐘,,,,,,,,,unisex,everyday,,,,
BKC-1072,Peacock Dance,tee,animals|women,749,949,teal,white|black,crop,,PEACOCK|DANCE,playfair,🦚,,,,,,,,,women,everyday,,,,
BKC-1073,Tiger Country,tee,animals,899,,olive,white|black,oversized,,TIGER|COUNTRY,anton,🐅,,,,,,,4.7,16,unisex,everyday,,,,
BKC-1074,Bandar Sabha,tee,animals|humour,649,,mustard,white|black,regular,,BANDAR|SABHA,marker,🐒,,,,,,,,,unisex,everyday,,,,
BKC-1075,Camel Ka Safar,tee,animals|travel|regional,649,,sand,white|black,regular,,CAMEL KA|SAFAR,bebas,🐪,,,,,,,4.8,18,unisex,everyday,,,,
BKC-1076,Goat Mode,tee,animals|humour|sports,899,1499,chilli,white|black,oversized,,GOAT|MODE,anton,🐐,,,,,,,4.0,44,unisex,everyday,,,,
BKC-1077,Crow Ka Confidence,tee,animals|humour,649,,charcoal,white|black,regular,,CROW KA|CONFIDENCE,mono,🐦,,,,,,,,,unisex,everyday,,,,
BKC-1078,"Snake Charmer, Retired",tee,animals|humour,899,1199,bottle,white|black,oversized,,SNAKE CHARMER|(RETIRED),marker,🐍,,,,,,,4.4,66,unisex,everyday,,,,
BKC-1079,Bee Kind,tee,insects|statement,899,1499,mustard,white|black,oversized,,BEE|KIND,anton,🐝,burst,#FFFFFF,,,,BESTSELLER,,,unisex,everyday,,,,
BKC-1080,Titli Effect,tee,insects|women,749,,lavender,white|black,crop,,TITLI|EFFECT,playfair,🦋,,,,,,,3.9,7,women,everyday,,,,
BKC-1081,Butterfly Migration,tee,insects,649,,powder,white|black,regular,,BUTTERFLY|MIGRATION,grotesk,🦋,,,,,,,4.5,7,unisex,everyday,,,,
BKC-1082,Cockroach Survivor,tee,insects|humour,899,,black,white|black,oversized,,COCKROACH|SURVIVOR,mono,🪳,,,,,"Outlived the dinosaurs, will outlive your quarterly targets.",,,,unisex,everyday,,,,
BKC-1083,Mosquito Ka Dushman,tee,insects|humour,649,,mint,white|black,regular,,MOSQUITO KA|DUSHMAN,marker,🦟,,,,,,,3.9,207,unisex,monsoon,,,,
BKC-1084,Ant Army,tee,insects,649,949,maroon,white|black,regular,,ANT|ARMY,anton,🐜,,,,,,,4.8,159,unisex,everyday,,,,
BKC-1085,Ladybug Luck,tee,insects|kids,499,,chilli,white|black,kids,,LADYBUG|LUCK,playfair,🐞,,,,,,,4.6,316,kids,everyday,,,,
BKC-1086,Jugnu Squad,tee,insects,899,,indigo,white|black,oversized,,JUGNU|SQUAD,rozha,✨,,,,,,,4.8,95,unisex,everyday,,,,
BKC-1087,Jheenguur Choir,tee,insects|music,649,,olive,white|black,regular,,JHEENGUUR|CHOIR,mono,🦗,,,,,,,4.0,66,unisex,everyday,,,,
BKC-1088,Beetle Brigade,tee,insects,899,,teal,white|black,oversized,,BEETLE|BRIGADE,bebas,🪲,,,,,,,,,unisex,everyday,,,,
BKC-1089,Makdi Ka Jaal,tee,insects|humour,649,1099,charcoal,white|black,regular,,MAKDI KA|JAAL,marker,🕷,,,,,,,3.8,458,unisex,everyday,,,,
BKC-1090,Honey Economy,tee,insects|foodie,649,,mustard,white|black,regular,,HONEY|ECONOMY,playfair,🍯,,,,,,,3.9,283,unisex,everyday,,,,
BKC-1091,Silkworm Story,tee,insects,649,,sand,white|black,regular,,SILKWORM|STORY,grotesk,🐛,,,,,,,,,unisex,everyday,,,,
BKC-1092,Pyaar Hi Pyaar Hai,tee,pride|statement,949,,white,white|black,oversized,,PYAAR HI|PYAAR HAI,rozha,🏳️‍🌈,,,,,"Love is love, said in the language most of our customers argue with their families in.",PRIDE,,,pride|unisex,everyday,,,,
BKC-1093,Proud & Desi,tee,pride,899,1299,lavender,white|black,oversized,,PROUD|& DESI,anton,🌈,,,,,,,3.8,305,pride|unisex,everyday,,,,
BKC-1094,Chosen Family,tee,pride,649,,rose,white|black,regular,,CHOSEN|FAMILY,playfair,🫂,,,,,,,4.4,188,pride|unisex,everyday,,,,
BKC-1095,Trans Rights Now,tee,pride|civic,899,,powder,white|black,oversized,,TRANS RIGHTS|NOW,bebas,🏳️‍⚧️,,,,,,,,,pride|unisex,everyday,,,,
BKC-1096,They / Them & Proud,tee,pride|typography,649,,black,white|black,regular,,THEY / THEM|& PROUD,mono,,,,,,,,4.6,126,pride|unisex,everyday,,,,
BKC-1097,Queer Aur Clear,tee,pride|women,749,,mint,white|black,crop,,QUEER AUR|CLEAR,marker,🌈,,,,,,,,,pride|women,everyday,,,,
BKC-1098,Rainbow Riwaaz,tee,pride,899,1299,offwhite,white|black,oversized,,RAINBOW|RIWAAZ,rozha,🌈,,,,,,,4.6,40,pride|unisex,everyday,,,,
BKC-1099,"Ally, Not Audience",tee,pride|statement,649,949,teal,white|black,regular,,"ALLY, NOT|AUDIENCE",grotesk,🤝,,,,,,,4.8,11,pride|unisex,everyday,,,,
BKC-1100,Apne Rang Mein,tee,pride,899,,coral,white|black,oversized,,APNE RANG|MEIN,playfair,🎨,,,,,,,4.1,311,pride|unisex,everyday,,,,
BKC-1101,2018 — Struck Down,tee,pride|civic,649,,indigo,white|black,regular,,2018|STRUCK DOWN,mono,⚖️,,,,,"The year Section 377 was read down. A date tee, because dates are hard to argue with.",,,,pride|unisex,everyday,,,,
BKC-1102,"Ladki Hoon, Lad Sakti Hoon",tee,women|statement|civic,899,,chilli,white|black,oversized,,"LADKI HOON,|LAD SAKTI HOON",rozha,✊,,,,,,BESTSELLER,3.9,61,women,everyday,,,,
BKC-1103,Apni Marzi,tee,women|typography,749,,black,white|black,crop,,APNI|MARZI,anton,,,,,,,,,,women,everyday,,,,
BKC-1104,Not Your Behenji,tee,women|humour,749,1249,rose,white|black,crop,,NOT YOUR|BEHENJI,marker,💅,,,,,,,3.9,275,women,everyday,,,,
BKC-1105,"Beti Padhao, Sawaal Uthao",tee,women|civic,649,1099,mustard,white|black,regular,,BETI PADHAO|SAWAAL UTHAO,rozha,📚,,,,,,,4.4,145,women,everyday,,,,
BKC-1106,Zidd Hai,tee,women|typography,899,1299,maroon,white|black,oversized,,ZIDD|HAI,anton,,,,,,,,4.2,21,women,everyday,,,,
BKC-1107,"Boss Lady, Desi Edition",tee,women|work,649,799,lavender,white|black,regular,,BOSS LADY|DESI EDITION,playfair,👑,,,,,,,4.0,36,women,everyday,,,,
BKC-1108,Chhota Packet Bada Dhamaka,tee,kids|humour,499,,coral,white|black,kids,,CHHOTA PACKET|BADA DHAMAKA,marker,🎁,,,,,,KIDS PICK,4.7,341,kids,everyday,,,,
BKC-1109,Homework Ka Dushman,tee,kids|humour,499,849,powder,white|black,kids,,HOMEWORK|KA DUSHMAN,bebas,📕,,,,,,,4.6,48,kids,exams,,,,
BKC-1110,Future Scientist,tee,kids,499,,white,white|black,kids,,FUTURE|SCIENTIST,mono,🔬,,,,,,,4.6,6,kids,everyday,,,,
BKC-1111,Mummy Ka Boss,tee,kids|humour,499,599,mint,white|black,kids,,MUMMY KA|BOSS,marker,👶,,,,,,,4.0,48,kids,everyday,,,,
BKC-1112,Dino Dost,tee,kids|animals,499,649,bottle,white|black,kids,,DINO|DOST,anton,🦕,,,,,,,4.9,14,kids,everyday,,,,
BKC-1113,Rocket Bacha,tee,kids,499,,indigo,white|black,kids,,ROCKET|BACHA,bebas,🚀,,,,,,,4.7,12,kids,everyday,,,,
BKC-1114,Ice Cream First,tee,kids|foodie,499,699,rose,white|black,kids,,ICE CREAM|FIRST,marker,🍦,,,,,,,4.9,10,kids,everyday,,,,
BKC-1115,"Chhota Cow, Bada Dil",tee,kids|animals,499,,mustard,white|black,kids,,CHHOTA COW|BADA DIL,marker,🐄,,,,,,,,,kids,everyday,,,,
BKC-1116,Dilli Wala,tee,regional,899,,charcoal,white|black,oversized,,DILLI|WALA,anton,🚇,,,,,,,4.3,6,unisex,everyday,,,,
BKC-1117,Bombay Local,tee,regional|travel,899,,indigo,white|black,oversized,,BOMBAY|LOCAL,bebas,🚆,,,,,,,4.4,39,unisex,everyday,,,,
BKC-1118,Namma Bengaluru,tee,regional,649,,bottle,white|black,regular,,NAMMA|BENGALURU,grotesk,🌳,,,,,,,4.2,387,unisex,everyday,,,,
BKC-1119,Kolkata Cha,tee,regional|foodie,649,,offwhite,white|black,regular,,KOLKATA|CHA,playfair,🫖,,,,,,,,,unisex,everyday,,,,
BKC-1120,Chennai Super Filter,tee,regional|foodie,649,,sand,white|black,regular,,CHENNAI|SUPER FILTER,bebas,☕,,,,,,,3.8,367,unisex,everyday,,,,
BKC-1121,Hyderabadi Nawabi,tee,regional,899,,maroon,white|black,oversized,,HYDERABADI|NAWABI,rozha,🕌,,,,,,,,,unisex,everyday,,,,
BKC-1122,Jaipur Pink,tee,regional|women,749,,rose,white|black,crop,,JAIPUR|PINK,playfair,🏰,,,,,,,4.3,74,women,everyday,,,,
BKC-1123,Northeast Pride,tee,regional,899,,teal,white|black,oversized,,NORTHEAST|PRIDE,anton,⛰️,,,,,,,4.2,360,unisex,everyday,,,,
BKC-1124,Ek Aur Over,tee,sports,899,,white,white|black,oversized,,EK AUR|OVER,anton,🏏,,,,,,MATCH DAY,,,unisex,ipl,,,,
BKC-1125,Stadium Wali Feeling,tee,sports,899,,chilli,white|black,oversized,,STADIUM WALI|FEELING,bebas,🏟,,,,,,,,,unisex,ipl,,,,
BKC-1126,Gully Cricket Legend,tee,sports|humour,649,,mustard,white|black,regular,,GULLY CRICKET|LEGEND,marker,🏏,,,,,,,4.4,15,unisex,ipl,,,,
BKC-1127,Kabaddi Breath,tee,sports,649,,olive,white|black,regular,,KABADDI|BREATH,anton,🤼,,,,,,,4.3,47,unisex,everyday,,,,
BKC-1128,Sleeper Class Stories,tee,travel,899,,sand,white|black,oversized,,SLEEPER CLASS|STORIES,mono,🚂,,,,,,,4.4,254,unisex,everyday,,,,
BKC-1129,Window Seat Only,tee,travel,649,,powder,white|black,regular,,WINDOW SEAT|ONLY,grotesk,🪟,,,,,,,4.5,330,unisex,everyday,,,,
BKC-1130,Bullet Pe Ladakh,tee,travel,899,,charcoal,white|black,oversized,,BULLET PE|LADAKH,bebas,🏍,,,,,,,,,unisex,everyday,,,,
BKC-1131,Bass Bhai Bass,tee,music,899,1199,black,white|black,oversized,,BASS BHAI|BASS,anton,🔊,,,,,,,3.8,231,unisex,everyday,,,,
BKC-1132,Qawwali Nights,tee,music,649,,bottle,white|black,regular,,QAWWALI|NIGHTS,rozha,🎶,,,,,,,4.4,201,unisex,everyday,,,,
BKC-1133,Auto Wale Ka Playlist,tee,music|humour|travel,649,799,saffron,white|black,regular,,AUTO WALE KA|PLAYLIST,marker,🎵,,,,,,,4.2,12,unisex,everyday,,,,
BKC-1134,Kuch Nahi,tee,typography,899,,offwhite,white|black,oversized,,KUCH|NAHI,anton,,,,,,,,,,unisex,everyday,,,,
BKC-1135,Theek Hai,tee,typography|humour,649,949,acid,white|black,regular,,THEEK|HAI,bebas,,,,,,,,4.5,274,unisex,everyday,,,,
BKC-1136,Achha Sun,tee,typography,899,,white,white|black,oversized,,ACHHA|SUN,rozha,,,,,,,,4.0,129,unisex,everyday,,,,
BKC-1137,Chal Bhai,tee,typography|humour,649,799,coral,white|black,regular,,CHAL|BHAI,marker,,,,,,,,4.6,243,unisex,everyday,,,,
BKC-1138,Hai Na?,tee,typography|women,749,,lavender,white|black,crop,,HAI|NA?,playfair,,,,,,,,,,women,everyday,,,,
BKC-1139,Scene On Hai,tee,typography,899,1499,teal,white|black,oversized,,SCENE ON|HAI,mono,,,,,,,,4.2,54,unisex,everyday,,,,
BKC-1140,Chal Jalun,tee,regional|humour|slang,899,,bottle,white|black,oversized,,चाल|जालुं,rozha,🥾,,,,,Kumaoni for “let’s go.” Day-to-day exit line from Naini to Almora.,KUMAON,,,unisex,everyday,uttarakhand,kumaon,Kumaoni,
BKC-1141,Ethar Aa,tee,regional|slang,649,,offwhite,white|black,regular,,एथर|आ,bebas,,,,,,“Come here” in Kumaoni — the soft summon every pahadi childhood knows.,,,,unisex,everyday,uttarakhand,kumaon,Kumaoni,
BKC-1142,Tu Ke Karanu Chu,tee,regional|humour|slang,899,,mustard,white|black,oversized,,तू के|करनु छु?,marker,,,,,,“What are you doing?” — Kumaoni group-chat energy.,,4.3,101,unisex,everyday,uttarakhand,kumaon,Kumaoni,
BKC-1143,Pailaag,tee,regional|slang,649,,white,white|black,regular,,पैलाग,rozha,🙏,,,,,Respectful greeting to elders in Kumaon. Soft power on cotton.,,4.2,100,unisex,everyday,uttarakhand,kumaon,Kumaoni,
BKC-1144,Siwasoli,tee,regional|slang,899,,mint,white|black,oversized,,सिवासौँळी,rozha,,,,,,"Garhwali hello — mountain manners, printed large.",GARHWAL,4.7,163,unisex,everyday,uttarakhand,garhwal,Garhwali,
BKC-1145,Maaf Garus,tee,regional|humour|slang,649,,sand,white|black,regular,,माफ|गरुस्,playfair,,,,,,Garhwali “sorry / excuse me” — for the polite Ch**tiya.,,4.5,149,unisex,everyday,uttarakhand,garhwal,Garhwali,
BKC-1146,Ti Kan Chhai,tee,regional|slang,899,,powder,white|black,oversized,,ती कन|छै?,anton,,,,,,“How are you?” in Garhwali — the check-in that isn’t WhatsApp.,,4.5,37,unisex,everyday,uttarakhand,garhwal,Garhwali,
BKC-1147,Budhyon Ki Akal,tee,regional|statement|slang,649,,olive,white|black,regular,,बुढ्यों की अकल|औंला कु स्वाद,rozha,,,,,,Garhwali औखाण: elders’ wisdom is like amla — flavour lands later.,,4.5,209,unisex,everyday,uttarakhand,garhwal,Garhwali,
BKC-1148,Chak De Phatte,tee,regional|humour|slang,899,,saffron,white|black,oversized,,CHAK DE|PHATTE,anton,🔥,,,,,"Go all out. Everyday Punjabi motivation, zero Bollywood tax.",PUNJAB,4.6,7,unisex,everyday,punjab,malwa,Punjabi,
BKC-1149,Ki Gall Aa,tee,regional|slang,649,,black,white|black,regular,,KI GALL|AA?,bebas,,,,,,“What’s the matter / what’s up?” — Ambarsari day-to-day.,,3.9,69,unisex,everyday,punjab,majha,Punjabi,
BKC-1150,Theek Aa Yaar,tee,regional|humour|slang,899,1199,mustard,white|black,oversized,,THEEK AA|YAAR,marker,,,,,,,,4.4,69,unisex,everyday,punjab,malwa,Punjabi,
BKC-1151,Seedha Baat,tee,regional|statement|slang,899,1099,chilli,white|black,oversized,,सीधा|बात,anton,,,,,,"Haryanvi register: say it straight, skip the buffer.",HARYANA,4.4,66,unisex,everyday,haryana,haryana-core,Haryanvi,
